Date;PCR
2022-10-17 00:00:00;1.49
2022-10-18 00:00:00;1.31
2022-10-19 00:00:00;1.39
2022-10-20 00:00:00;1.34
2022-10-21 00:00:00;1.35
2022-10-24 00:00:00;1.36
2022-10-25 00:00:00;1.23
2022-10-26 00:00:00;1.3
2022-10-27 00:00:00;1.46
2022-10-28 00:00:00;1.15
2022-10-31 00:00:00;1.31
2022-11-01 00:00:00;1.29
2022-11-02 00:00:00;1.46
2022-11-03 00:00:00;1.55
2022-11-04 00:00:00;1.47
2022-11-07 00:00:00;1.28
2022-11-08 00:00:00;1.24
2022-11-09 00:00:00;1.32
2022-11-10 00:00:00;1.38
2022-11-11 00:00:00;1.25
2022-11-14 00:00:00;1.3
2022-11-15 00:00:00;1.38
2022-11-16 00:00:00;1.42
2022-11-17 00:00:00;1.4
2022-11-18 00:00:00;1.37
2022-11-21 00:00:00;1.33
2022-11-22 00:00:00;1.38
2022-11-23 00:00:00;1.49
2022-11-25 00:00:00;1.57
2022-11-28 00:00:00;1.56
2022-11-29 00:00:00;1.6
2022-11-30 00:00:00;1.32
2022-12-01 00:00:00;1.31
2022-12-02 00:00:00;1.21
2022-12-05 00:00:00;1.44
2022-12-06 00:00:00;1.44
2022-12-07 00:00:00;1.39
2022-12-08 00:00:00;1.25
2022-12-09 00:00:00;1.42
2022-12-12 00:00:00;1.39
2022-12-13 00:00:00;1.27
2022-12-14 00:00:00;1.36
2022-12-15 00:00:00;1.64
2022-12-16 00:00:00;1.47
2022-12-19 00:00:00;1.42
2022-12-20 00:00:00;1.39
2022-12-21 00:00:00;1.29
2022-12-22 00:00:00;1.31
2022-12-23 00:00:00;1.31
2022-12-27 00:00:00;1.25
2022-12-28 00:00:00;1.38
2022-12-29 00:00:00;1.26
2022-12-30 00:00:00;1.56
2023-01-03 00:00:00;1.46
2023-01-04 00:00:00;1.47
2023-01-05 00:00:00;1.26
2023-01-06 00:00:00;1.22
2023-01-09 00:00:00;1.27
